,food,ALPHA-TOCOPHEROL,AMYLOSE,ASCORBATE|ASCORBIC-ACID,ASCORBIC-ACID,BIOTIN,CALCIUM,CARBOHYDRATE,CARBOHYDRATES,CARBOHYDRATE|CARBOHYDRATES,CHLORIDE,CHROMIUM,COPPER,FAT,FLUORIDE,HISTIDINE,IODINE,IRON,ISOLEUCINE,ISOLINOLEIC-ACID,LEUCINE,LYSINE,MAGNESIUM,MANGANESE,METHIONINE,MOLYBDENUM,NIACIN,NIACIN|NICOTINIC-ACID,PANTOTHENIC-ACID,PHENYLALANINE,PHOSPHORUS,POTASSIUM,PROLINE,PROTEIN,PROTEIN|PROTEINS,PYRIDOXINE,PYRIDOXINE|VIT-B-6,RIBOFLAVIN,RIBOFLAVIN|VITAMIN-B-2,SELENIUM,SODIUM,STARCH,SUCROSE,SUCROSE|SUGAR,SUGAR,SUGARS,THIAMIN,THIAMINE,THIAMIN|THIAMINE,THIAMIN|VITAMIN-B-1,THREONINE,TOCOPHEROL,TOCOPHEROLS,TRYPTOPHAN,VALINE,VIT-B-6,VIT-E,VITAMIN-B-6,VITAMIN-K-1,ZINC
22,Brussel-Sprout,6.3,0,0.0,606.9,0.0,317.7,0,63974.4,0,0.0,0.0,0.5,2856.0,0.0,542.6,0.0,13.6,942.5,0.0,1085.3,1099.6,164.2,2.4,228.5,0.063,6.4,0.0,2.2,699.7,492.7,2934.3,0.0,25000.0,0,0.0,0.0,1.0,0.0,0.0018,199.0,0.0,0.0,0,0,0.0,1.1,0.0,0.0,0.0,856.8,0.0,0.0,264.2,1106.7,1.6,0.0,0.0,0.0,15.7
23,Burdock,0.0,0,0.0,15.1,0.0,851.0,0,85000.0,0,0.0,2.0,2.9,6544.5,0.0,155.0,0.0,147.0,150.0,0.0,160.0,335.0,537.0,6.0,45.0,0.0,1.5,0.0,0.0,165.0,437.0,1680.0,260.0,13007.5,0,0.0,0.0,0.34,0.0,0.0,152.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1,0.0,130.0,0.0,0.0,30.0,165.0,0.0,0.0,0.0,0.0,3.9
24,Butterbur,0.0,0,0.0,572.5,0.0,1636.25,0,65636.0,0,0.0,2.3,1.6,727.0,0.0,0.0,0.0,105.9,0.0,0.0,0.0,0.0,254.5,10.0,0.0,0.0,3.6,0.0,0.0,0.0,199.0,2695.0,0.0,7090.0,0,0.0,0.0,0.36,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
25,Butternut,0.0,0,0.0,0.0,0.0,72.4,0,12466.4,0,0.0,0.14,0.84,59504.4,0.0,835.9,0.01,7.6,1219.7,0.0,2275.0,796.6,267.6,7.2,632.1,0.04,0.0,0.0,0.0,1491.8,483.4,749.3,1278.7,27158.7,0,0.0,0.0,0.0,0.0,0.01,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,972.5,0.0,0.0,378.6,1594.2,0.0,0.0,0.0,0.0,3.7
26,Cabbage,0.7,0,0.0,677.4,0.0,750.0,0,71796.9,0,0.0,0.87,8.7,3355.9,0.0,334.3,0.0,15.1,815.6,0.0,842.3,762.1,222.8,4.5,160.4,0.87,4.0,0.0,1.9,521.4,650.0,4250.0,3182.1,17942.5,0,0.0,0.0,0.4,0.0,0.025,451.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,561.5,0.0,0.0,160.4,695.2,1.4,0.0,0.0,0.0,3.6
27,Carambola,0.0,0,0.0,493.5,0.0,104.0,0,93600.0,0,0.0,0.0,1.5,5200.0,0.0,44.0,0.0,16.5,253.0,0.0,440.0,440.0,120.0,1.1,121.0,0.0,5.3,0.0,0.0,209.0,210.0,2350.0,286.0,7300.0,0,0.0,0.0,0.52,0.0,0.0,35.1,0.0,0.0,0,0,0.0,0.657,0.0,0.0,0.0,253.0,0.0,0.0,44.0,286.0,0.0,0.0,0.0,0.0,1.2
28,Carob,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,750.0,0.0,1175.0,0.0,0.0,1645.0,0.0,3055.0,2632.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,1504.0,0.0,0.0,1880.0,63000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,0.0,0,0,70000.0,0.0,0.0,0.0,0.0,1692.0,0.0,0.0,0.0,2068.0,0.0,0.0,0.0,0.0,0.0
29,Carrot,41.199999999999996,0,0.0,77.5,0.0,571.0,0,85000.0,0,0.0,0.15,1.8,16550.0,0.0,131.0,0.0,30.0,336.0,0.0,352.0,327.5,198.0,6.2,57.5,0.07,0.0,0.0,1.7,262.0,509.0,4636.0,237.5,10600.0,0,0.0,0.0,0.5,0.0,0.002,950.4,2520.0,33900.0,0,0,0.0,0.6,0.0,0.0,0.0,311.0,0.0,0.0,90.0,360.0,1.3,0.0,0.0,0.0,7.9
30,Cashew,0.0,0,0.0,682.6,0.0,82.8,0,71922.59999999999,0,0.0,0.03,3.7,18366.666666666668,0.0,405.9,0.01,13.6,743.6,0.0,1307.2,831.1,265.0,0.84,278.7,0.01,2.9666666666666663,0.0,1.3,804.6,469.0,681.5,701.9,14333.333333333334,0,0.0,0.0,0.6766666666666666,0.0,0.02,25.7,0.0,0.0,0,0,0.0,0.36999999999999994,0.0,0.0,0.0,602.2,0.8,0.0,241.1,1058.0,0.3,0.0,0.0,0.0,5.7
31,Cassava,0.0,0,0.0,576.5,0.0,644.5,0,85487.5,0,0.0,0.0,0.38,2000.0,0.0,143.0,0.0,80.7,193.5,0.0,286.0,317.5,210.0,0.25,82.5,0.0,5.95,0.0,0.0,190.0,251.25,2426.0,241.5,19922.25,0,0.0,0.0,0.91,0.0,0.0,265.5,82840.0,0.0,0,0,3373.0,0.855,0.0,0.0,0.0,206.5,0.0,0.0,136.5,251.0,0.0,0.0,0.0,0.0,1.9
32,Cayenne,0.0,0,0.0,1999.2,0.0,156.0,0,84900.0,0,0.0,0.35,1.4,8316.0,0.0,334.6,0.0,13.5,530.4,0.0,856.8,726.2,220.3,2.0,195.8,0.0,15.8,0.0,0.5,505.9,379.4,3427.2,709.9,16320.0,0,0.0,0.0,0.8,0.0,0.0,73.4,0.0,0.0,0,0,0.0,0.8,0.0,0.0,0.0,603.8,2.4,0.0,212.2,685.4,2.3,0.0,0.0,0.0,2.4
33,Cereza,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Cherimoya,0.0,0,0.0,72.5,0.0,128.25,0,92700.0,0,0.0,0.0,0.0,13650.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,102.25,5.25,0.0,0.0,5.0,0.0,0.0,0.0,151.0,2395.0,0.0,9350.0,0,0.0,0.0,0.55,0.0,0.0,18.65,0.0,0.0,0,0,11900.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
35,Chicory,0.0,0,0.0,114.5,0.0,1047.5,0,76475.0,0,0.0,0.0,0.0,1950.0,0.0,346.8,0.0,14.3,1224.0,0.0,897.6,795.6,187.6,0.0,122.4,0.0,6.1,0.0,0.0,489.6,366.7,2581.4,0.0,15800.0,0,0.0,0.0,2.9,0.2,0.0,196.4,0.0,0.0,0,0,0.0,1.4,0.0,0.0,0.2,571.2,0.0,0.0,367.2,918.0,0.0,0.0,0.0,0.0,0.0
36,Cloudberry,0.0,0,0.0,0.0,0.0,112.5,0,0.0,0,0.0,0.038,0.56,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,187.5,12.5,0.0,0.06,0.0,0.0,0.0,0.0,250.0,1187.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
37,Cobnut,0.0,0,0.0,2.2,0.0,259.1,0,22900.0,0,0.0,0.07,8.2,65000.0,0.0,0.0,0.003,9.9,0.0,0.0,0.0,0.0,315.6,10.0,0.0,0.06,5.4,0.0,1.2,0.0,462.2,1043.3,0.0,21000.0,0,0.0,0.0,0.44,0.0,0.008,3.2,0.0,5000.0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3.9
38,Coconut,0.0,0,0.0,8.8,0.0,47.6,0,33100.0,0,0.0,0.02,3.3,71900.0,0.0,0.0,0.03,3.3,0.0,0.0,0.0,0.0,77.0,2.1,0.0,0.003,1.0,0.0,0.0,0.0,240.0,1149.1,0.0,7700.0,0,0.0,0.0,0.07,0.0,0.002,62.6,0.0,6915.0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.7
