db_name,my_name
CARBON-DISULFIDE,NA
CAREN-3,NA
"CAROTA-1,4-BETA-OXIDE|DEHYDROXYDAUCOL",NA
CAROTENE,NA
CAROTOL,NA
CARVACROL,NA
CARVONE,NA
CARYOPHYLLENE,NA
CARYOPHYLLENE-OXIDE,NA
CARYOPHYLLENE-OXIDE|EPOXYDIHYDROCARYOPHYLLENE,NA
CASUARIIN,NA
CASUARININ,NA
CELLULOSE,NA
CERIUM,NA
CESIUM,NA
CHAVICOL,NA
CHIRO-INOSITOL,NA
CHLORINE,NA
CHLOROGENIC-ACID,NA
CHLOROPHYLL,NA
CHOLESTANOL,NA
CHOLESTEROL,NA
CHOLINE,NA
CICHORIIN,NA
CIS-3-HEXENOL,NA
"CIS-9,10-DIHYDRO-CAPSENONE",NA
CIS-CARVEOL,NA
CIS-GAMMA-BISABOLENE,NA
CITRABASINE,NA
CITRACRIDONE-I,NA
CITRAL,NA
CITRIC-ACID,NA
CITRONELLAL,NA
CITRONELLOL,NA
CITRONELLYL-ACETATE,NA
CITRUSININE-I,NA
CITRUSININE-II,NA
"CLEROSTEROL|DELTA-5,23-STIGMASTADIENOL",NA
COBALT,NA
COUMARINS,NA
COUMESTROL,NA
CRENULATIN,NA
CYANADIN-3-O-ARABINOSIDE|CYANIDIN-3-O-ARABINOSIDE,NA
"CYANIDIN-3,5-DIGLUCOSIDE",NA
CYANIDIN-3-O-GALACTOSIDE,NA
CYANIDIN-3-O-GLUCOSIDE,NA
CYANIDIN-3-SOPHOROSIDE-5-GLUCOSIDE,NA
CYCLODEHYDROISOLUBIMIN,NA
CYSTEINE,NA
CYSTINE,NA
DAUCENE,NA
DAUCOL,NA
DAUCOSTEROL,NA
DEC-2-EN-1-AL,NA
DECA-2-4-DIEN-1-AL,NA
DECA-2-ONE,NA
DECANAL,NA
DECANOIC-ACID,NA
DECANOIC-ACID-VANILLYLAMIDE,NA
DECANOL,NA
DECYL-ACETATE,NA
DEHYDROASCORBIC-ACID,NA
DEHYDROXY-METHYL FLAZIN,NA
DELPHINIDIN-3-O-ARABINOSIDE,NA
DELPHINIDIN-3-O-GALACTOSIDE,NA
DELPHINIDIN-3-O-GLUCOSIDE,NA
DELTA-3-CARENE,NA
"DELTA-5,24-STIGMASTADIENOL",NA
DELTA-5-AVENASTEROL,NA
DELTA-7-AVENASTEROL,NA
DELTA-7-STIGMASTENOL,NA
DELTA-CADINENE,NA
DELTA-ELEMENE,NA
DELTA-OCTALACTONE,NA
DELTA-TOCOPHEROL,NA
DEXTROSE,NA
D-GALACTURONIC-ACID,NA
D-GLUCOSE,NA
DI-(2-METHYLPROPYL)-PHTHALATE,NA
DIBUTYL-PHTHALATE,NA
DIETHYL-AMINE,NA
DIHYDROCAPSAICIN,NA
DIMETHYL-AMINE,NA
DIMETHYL-ANTHRALINATE,NA
DIMETHYL-DISULFIDE,NA
DIMETHYL-MALONATE,NA
DIMETHYL-SULFIDE,NA
DIMETHYL-TRISULFIDE,NA
DI-N-PROPYL-AMINE,NA
DIOCTYL-PHTHALATE?,NA
DIOSGENIN,NA
DIPHENYLAMINE,NA
DIPHOSPHATIDYL-GLYCEROL,NA
DODECANAL,NA
DODECANOIC-ACID,NA
DODECANOL,NA
D-SORBITOL,NA
EICOSENOIC-ACID,NA
ELAIDIC-ACID,NA
ELEMICIN,NA
ELEMOL,NA
ELEMOL-ACETATE,NA
ELLAGIC-ACID,NA
EO,NA
EPIMYRTINE,NA
EPSILON-VINIFERIN,NA
ERIOCITRIN|ERIODICTYOSIDE,NA
ERUCIC-ACID,NA
ESTERS,NA
ESTRONE,NA
ETHANOL,NA
ETHYL-ACETATE,NA
ETHYL-ACRYLATE,NA
ETHYL-ALCOHOL,NA
ETHYL-AMINE,NA
ETHYLBENZENE,NA
ETHYL-BETA-ACETOXYHEXANOATE,NA
ETHYL-BETA-HYDROXYHEXANOATE,NA
ETHYL-BETA-METHYLTHIOPROPIONATE,NA
ETHYL-BUTYRATE,NA
ETHYL-CAPROATE,NA
ETHYL-ISOVALERATE,NA
ETHYL-METHYL-AMINE,NA
ETHYL-METHYL-DISULFIDE,NA
ETHYL-SUBERENOL,NA
EUGENOL,NA
EUROPIUM,NA
FALCARINDIOL,NA
FALCARINOL,NA
FARNESENE,NA
FARNESOL,NA
FARNESOL-ACETATE,NA
FENCHOL,NA
FERULIC-ACID,NA
FERULOYL-PUTRESCINE|SUBAPHYLLIN,NA
FICUSIN|PSORALEN,NA
FLAVONOIDS,NA
FLAVONOLS,NA
FLAZIN METHYL ETHER,NA
FLUORINE,NA
FLUROINE,NA
FOLACIN,NA
FOLACIN|FOLIC-ACID,NA
FORMIC-ACID-2-PHENYL-ETHYL-ESTER,NA
FRUCTOSE,NA
FRUCTOSE|LEVULOSE,NA
FUMARIC-ACID,NA
FURFURAL,NA
FURFUROL,NA
GABA,NA
GABA|GAMMA-AMINOBUTYRIC-ACID,NA
GADOLEIC-ACID,NA
GALACTOMANNAN,NA
GALACTOSE,NA
GALLIC-ACID,NA
GALLOTANNIC-ACID|TANNIN,NA
GALLO-TANNIN|TANNINS,NA
GAMMA-AMINOBUTYRIC-ACID,NA
GAMMA-BISABOLENE,NA
GAMMA-CADANINE,NA
GAMMA-CAPROLACTONE,NA
GAMMA-DECALACTONE,NA
